No,username,country,math,implementation,geometry,bitmasks,brute force,binary search,dp,greedy,chinese remainder theorem,fft,sortings,number theory,constructive algorithms,trees,matrices,divide and conquer,probabilities,dfs and similar,data structures,flows,meet-in-the-middle,games,graphs,shortest paths,hashing,strings,combinatorics,interactive,dsu,graph matchings,two pointers,string suffix structures,2-sat,expression parsing,*special,ternary search,schedules,total
65,codeveloppy,Vietnam,41914.25952,61054.47619,3271.833333,7655.609524,22860.39286,12197.02619,36031.38571,32336.23571,0,175,13813.81667,11399.86667,21044.49286,8537.302381,1822.416667,2370.12619,1685.833333,8078.878571,21438.42857,1715,432.75,1462.916667,8593.12619,3049.27619,791.0833333,9576.566667,8233.166667,1155.25,4533.916667,87.5,5936.7,528.75,0,100,979.3666667,425.25,225,355513
66,TungPM,Vietnam,10135.30952,8958.442857,226.5,1765.75,4631.27619,1944.033333,6083.57619,8474.342857,0,0,3384.75,3174.916667,5186.083333,1849.483333,90,631.25,464,1892.733333,5276.57619,225,187.5,0.833333333,1048.95,325.3333333,575.65,2890.542857,2214.416667,0.583333333,1.366666667,0,2195.566667,575.4,0,0.333333333,0.5,0,0,74411
67,FrozenDiamond,Vietnam,2464.083333,2106,535,0,1117.666667,620.9166667,2998.083333,3530.833333,0,0,1514,928.75,1889.333333,524.75,0,0,0,626.5833333,934.75,0,0,0.5,661.9166667,0,0,0.5,731.6666667,0,439.3333333,0,1375.166667,0,0,0,0,111.1666667,0,23111
68,Qu0cNguyen,Vietnam,15382.39286,16181.92381,1525.75,3820.642857,7432.152381,4557.866667,16580.48333,18805.05952,247,0,8798.466667,4954.116667,7566.095238,7842.185714,262.5,928.2928571,100,9065.133333,12458.22143,601,0.25,366,8731.9,2065.583333,1005,3056.4,2262.583333,0,3311.030952,60,3678.935714,0,60,0.333333333,187.5,215.2,225,162335
69,JamesCole,Vietnam,4070.066667,3850.316667,212.6666667,865.3,915.1333333,844.6666667,1360.033333,2760.533333,0,0,943.7166667,2137.916667,1743.416667,133,0,98.33333333,0,863.9166667,1278.066667,0,0,774.25,1462.916667,364.3333333,0,1090.25,654.25,0,410.6666667,0,324.75,0,0,0,0,93.5,0,27252
70,long10024070,Vietnam,19038.16667,26720.9,1668.75,839.5,9139.666667,5463.583333,10735.23333,13002.81667,0,0,5139.733333,4702.166667,11109.91667,1883.533333,0,1585,112.5,1874.033333,6369.85,200.3333333,0,528.3333333,4046.366667,657,300,3680.166667,3758.5,0.333333333,225.7,0,1979.916667,250,0,0,3,150,0,135165
71,nguyenxxxxxxx,Vietnam,16829.26667,22245.38333,3076.833333,1230.25,6800.733333,4155.633333,8000.788095,14014.5381,244,160,5256.438095,3883.35,6734.038095,2690.638095,0,225,600.25,3295.388095,7040.733333,0.533333333,0,608,3907.421429,249.95,1392.5,4907.2,3623.616667,740,1564.033333,0.2,1750.283333,0,0,366,75,0,0,125668
72,_D41_,Vietnam,19240.11667,19943.98333,4857.666667,2872.133333,8608.814286,8686.097619,18968.6,18996.16429,544,0,7789.833333,7286.966667,17200.16667,4555.25,1015.333333,1758.583333,1260.083333,7990.114286,12070.71429,750.5,0.25,675.5,8294.180952,2119.880952,675.5,5337.7,4479.25,666.2,2989.133333,507,3402.983333,350,634.5,76.8,0,700,0,195304
73,makacha,Vietnam,7841.083333,8216.209524,2,500.8333333,3699.183333,1107,8953.9,10243.92619,0,0,2967.566667,3252.666667,4252,2868.616667,905.7,250.6,225,2505.592857,3607.12619,0,0,600.3333333,3849.509524,1205.05,480,3327.592857,897.25,554,1596.809524,0,1320.45,250,0,0,0,0,0,75480
74,TONYTRAN,Vietnam,22581.35238,31495.61905,2721.333333,3022.533333,10253.41905,5735.285714,16045.98571,19050.81667,0,0,9584.1,6305.685714,6794.916667,3336.4,495,350,1425.333333,4605.216667,11919.55238,0,868.5,1344.333333,4707.916667,465.5,543.5,3184.15,2842.5,0,2111.716667,112.5,1758.333333,860,0,0,300,562.5,0,175384
75,Escarlata,Vietnam,5973.75,9040.4,295,521.5,3939.309524,696.2761905,2074.7,8307.67619,0,0,2777.866667,1340.666667,3859.216667,411.8333333,0,0,0,550.6428571,1677.97619,0,0,452,550.3095238,311.4761905,0,727.45,840.5833333,347.3333333,239.1666667,0,152.8666667,0,0,0.333333333,0,61.66666667,0,45150
76,hieptk,Vietnam,27354.05,43385.33333,5299.2,2009.583333,14816.28333,9396.65,24766.75,27366.58333,0,134.5,11424.86667,6816.333333,11982.95,6745.7,2347.333333,440.1666667,1916.833333,11955.33333,17990.31667,551.3333333,1134,2184.133333,14325.33333,4022.25,2283.166667,5978.583333,6235.5,5.5,2405.066667,518.5,3477.866667,680,337.5,1075,937.5,375,0,272675
77,NguoiHocTinLoai2,Vietnam,3476.2,1424.666667,458,0.5,507.5,2031.2,1382.104762,1007.854762,0,0,966.3214286,1428.4,1271.354762,582.1047619,0,239.5333333,1,277.5714286,1370.666667,0,0,0,742.9047619,465,0,0.583333333,387,0,465.5333333,0,0,0,0,0,0,0,0,18486
78,FuyuMai12,Vietnam,7967.783333,12241.91667,2318.416667,1403.333333,2632.083333,2176.583333,5519.383333,2865.133333,0,0,2311.016667,2179.033333,7912.45,2095.4,0,0,0,1163.2,3521.2,0,1,763.3333333,1347.166667,223.5833333,0.666666667,1916.25,2120.25,476,256.65,0,1.666666667,0,0,0.5,0,0,0,63414
79,hiep622032001,Vietnam,17941.9,18547.15,2319.333333,2051.2,7654.166667,3310.116667,11804.18333,13111.65,225,450,3720.733333,6398.25,8101.216667,1783,843.75,1474.2,500.25,2916.283333,6101.5,225,0,1093.833333,6870.85,771.8333333,537.7666667,3574.533333,3744.666667,892.3333333,1820.083333,37.5,2506.05,620.1666667,0,0,175,212.5,0,132336
80,ahcl,Vietnam,22768.19286,42291.19286,4930.166667,1370.083333,10021.29286,6602.77619,14115.44286,17931.7,0,75,8942,5969.642857,10603.46667,1272.616667,1056.25,1472.75,507,3657,8954.82619,0.5,285,195.8333333,4483.25,1108.333333,682.1666667,5374.25,3966.833333,1305,2366.616667,154,1586.283333,125,0,292.3333333,1.2,60,0,184528
